"Date","Price","Open","High","Low","Vol.","Change %"
"10-12-2021","236.10","236.20","238.95","233.75","35.16M","0.30%"
"09-12-2021","235.40","223.00","236.45","223.00","38.24M","4.65%"
"08-12-2021","224.95","221.00","225.65","221.00","9.86M","1.95%"
"07-12-2021","220.65","218.90","221.95","218.10","8.90M","1.26%"
"06-12-2021","217.90","221.65","222.20","217.50","13.14M","-1.69%"
"03-12-2021","221.65","225.00","226.20","221.35","13.79M","-1.69%"
"02-12-2021","225.45","221.90","226.15","221.30","15.90M","1.60%"
"01-12-2021","221.90","222.00","223.30","220.60","13.00M","0.34%"
"30-11-2021","221.15","222.00","225.20","220.00","23.50M","-0.16%"
"29-11-2021","221.50","222.00","223.65","220.20","22.13M","-1.12%"
"26-11-2021","224.00","228.90","230.05","223.10","27.03M","-3.16%"
"25-11-2021","231.30","227.00","232.20","225.75","23.90M","1.58%"
"24-11-2021","227.70","232.45","232.70","226.95","14.14M","-1.68%"
"23-11-2021","231.60","229.15","232.70","229.15","13.43M","0.30%"
"22-11-2021","230.90","237.90","240.75","229.55","22.57M","-2.78%"
"18-11-2021","237.50","240.00","243.00","236.30","20.23M","-0.84%"
"17-11-2021","239.50","236.00","245.25","235.65","46.70M","1.72%"
"16-11-2021","235.45","239.05","239.65","235.00","14.68M","-1.11%"
"15-11-2021","238.10","233.95","239.00","233.10","38.76M","2.23%"
"12-11-2021","232.90","231.20","233.95","229.15","11.86M","1.26%"
"11-11-2021","230.00","230.40","231.50","228.55","8.13M","-0.37%"
"10-11-2021","230.85","227.45","232.85","227.20","13.43M","0.92%"
"09-11-2021","228.75","229.85","230.90","227.85","11.52M","-0.46%"
"08-11-2021","229.80","229.70","230.70","225.70","20.27M","1.43%"
"04-11-2021","226.55","224.85","227.30","224.00","7.02M","1.84%"
"03-11-2021","222.45","226.00","226.85","221.70","17.84M","-1.40%"
"02-11-2021","225.60","228.00","229.25","224.50","14.34M","-0.55%"
"01-11-2021","226.85","224.15","227.55","222.50","23.20M","1.64%"
"29-10-2021","223.20","225.00","228.25","222.30","26.64M","-0.84%"
"28-10-2021","225.10","235.10","235.95","224.15","46.28M","-5.60%"
"27-10-2021","238.45","240.25","241.30","236.20","25.91M","0.74%"
"26-10-2021","236.70","234.10","239.00","232.60","18.93M","1.41%"
"25-10-2021","233.40","234.10","236.65","230.50","22.33M","-1.35%"
"22-10-2021","236.60","244.70","245.80","233.70","35.54M","-3.31%"
"21-10-2021","244.70","248.00","248.35","243.10","22.52M","-0.77%"
"20-10-2021","246.60","245.95","248.50","242.35","47.82M","0.26%"
"19-10-2021","245.95","261.40","262.55","245.05","59.06M","-6.32%"
"18-10-2021","262.55","261.00","265.30","257.35","60.29M","2.34%"
"14-10-2021","256.55","253.25","261.85","250.35","85.41M","2.95%"
